district32,year,quarter,art_tot,art_new
Balaka,2011,1,6280,449
Balaka,2011,2,6595,389
Balaka,2011,3,7015,533
Balaka,2011,4,7735,995
Balaka,2012,1,8730,954
Balaka,2012,2,9513,630
Balaka,2012,3,9893,978
Balaka,2012,4,10055,706
Balaka,2013,1,10767,856
Balaka,2013,2,11335,660
Balaka,2013,3,11734,704
Balaka,2013,4,12095,530
Balaka,2014,1,12676,683
Balaka,2014,2,12922,693
Balaka,2014,3,13940,905
Balaka,2014,4,14375,744
Balaka,2015,1,15102,823
Balaka,2015,2,15497,719
Balaka,2015,3,15994,640
Balaka,2015,4,16221,574
Balaka,2016,1,16631,631
Balaka,2016,2,17056,753
Balaka,2016,3,17902,1073
Balaka,2016,4,18330,702
Balaka,2017,1,18452,883
Balaka,2017,2,18772,876
Balaka,2017,3,19298,746
Balaka,2017,4,19983,796
Balaka,2018,1,20292,939
Balaka,2018,2,20639,812
Balaka,2018,3,20983,732
Balaka,2018,4,20982,564
Blantyre,2011,1,9686,538
Blantyre,2011,2,10171,649
Blantyre,2011,3,10939,806
Blantyre,2011,4,11498,1063
Blantyre,2012,1,12067,987
Blantyre,2012,2,12843,941
Blantyre,2012,3,13318,902
Blantyre,2012,4,13672,799
Blantyre,2013,1,14590,897
Blantyre,2013,2,14984,964
Blantyre,2013,3,15424,868
Blantyre,2013,4,15984,825
Blantyre,2014,1,16415,902
Blantyre,2014,2,16888,954
Blantyre,2014,3,17222,996
Blantyre,2014,4,17996,940
Blantyre,2015,1,18236,860
Blantyre,2015,2,18948,941
Blantyre,2015,3,19811,1002
Blantyre,2015,4,19790,900
Blantyre,2016,1,20121,987
Blantyre,2016,2,20827,1039
Blantyre,2016,3,22539,1476
Blantyre,2016,4,22755,1121
Blantyre,2017,1,23954,1477
Blantyre,2017,2,24754,1272
Blantyre,2017,3,24696,1141
Blantyre,2017,4,24696,1068
Blantyre,2018,1,24908,1342
Blantyre,2018,2,25975,1449
Blantyre,2018,3,26066,1649
Blantyre,2018,4,26708,1337
Blantyre City,2011,1,23811,1321
Blantyre City,2011,2,24061,1535
Blantyre City,2011,3,25980,1913
Blantyre City,2011,4,27303,2523
Blantyre City,2012,1,29384,2403
Blantyre City,2012,2,30782,2254
Blantyre City,2012,3,32226,2183
Blantyre City,2012,4,33262,1945
Blantyre City,2013,1,34474,2120
Blantyre City,2013,2,35013,2252
Blantyre City,2013,3,36271,2042
Blantyre City,2013,4,37710,1947
Blantyre City,2014,1,38154,2096
Blantyre City,2014,2,39298,2220
Blantyre City,2014,3,40682,2354
Blantyre City,2014,4,42358,2212
Blantyre City,2015,1,43846,2068
Blantyre City,2015,2,44710,2221
Blantyre City,2015,3,46327,2343
Blantyre City,2015,4,47071,2141
Blantyre City,2016,1,48638,2385
Blantyre City,2016,2,49835,2485
Blantyre City,2016,3,51984,3404
Blantyre City,2016,4,53003,2611
Blantyre City,2017,1,54705,3373
Blantyre City,2017,2,56521,2905
Blantyre City,2017,3,57251,2645
Blantyre City,2017,4,58370,2524
Blantyre City,2018,1,60381,3252
