area_id,area_name,source,calendar_quarter,sex,age_group,population,asfr
MWI_2_1_demo,Northern,Census 2018,CY2008Q2,female,Y000_004,151492.40705995914,
MWI_2_1_demo,Northern,Census 2018,CY2008Q2,female,Y005_009,132870.5436660692,
MWI_2_1_demo,Northern,Census 2018,CY2008Q2,female,Y010_014,112192.61584372909,
MWI_2_1_demo,Northern,Census 2018,CY2008Q2,female,Y015_019,99550.39469599188,0.15455342672979608
MWI_2_1_demo,Northern,Census 2018,CY2008Q2,female,Y020_024,78808.42632738211,0.2616413388112306
MWI_2_1_demo,Northern,Census 2018,CY2008Q2,female,Y025_029,63785.207532260334,0.2385895119359874
MWI_2_1_demo,Northern,Census 2018,CY2008Q2,female,Y030_034,53375.85664738585,0.1991371834701866
MWI_2_1_demo,Northern,Census 2018,CY2008Q2,female,Y035_039,43097.2495774966,0.14292596164546892
MWI_2_1_demo,Northern,Census 2018,CY2008Q2,female,Y040_044,34559.704544787965,0.07014384543984178
MWI_2_1_demo,Northern,Census 2018,CY2008Q2,female,Y045_049,26727.012395641676,0.026562935773756565
MWI_2_1_demo,Northern,Census 2018,CY2008Q2,female,Y050_054,20972.684616690443,
MWI_2_1_demo,Northern,Census 2018,CY2008Q2,female,Y055_059,15030.496499338204,
MWI_2_1_demo,Northern,Census 2018,CY2008Q2,female,Y060_064,14150.857252878068,
MWI_2_1_demo,Northern,Census 2018,CY2008Q2,female,Y065_069,11908.508450185285,
MWI_2_1_demo,Northern,Census 2018,CY2008Q2,female,Y070_074,9801.249971535583,
MWI_2_1_demo,Northern,Census 2018,CY2008Q2,female,Y075_079,6568.996162865176,
MWI_2_1_demo,Northern,Census 2018,CY2008Q2,female,Y080_999,7207.428608590064,
MWI_2_1_demo,Northern,Census 2018,CY2008Q2,male,Y000_004,150130.5862725713,
MWI_2_1_demo,Northern,Census 2018,CY2008Q2,male,Y005_009,130092.26698663818,
MWI_2_1_demo,Northern,Census 2018,CY2008Q2,male,Y010_014,107440.80312251243,
MWI_2_1_demo,Northern,Census 2018,CY2008Q2,male,Y015_019,93861.4877106179,
MWI_2_1_demo,Northern,Census 2018,CY2008Q2,male,Y020_024,75992.06952226817,
MWI_2_1_demo,Northern,Census 2018,CY2008Q2,male,Y025_029,57180.171329603465,
MWI_2_1_demo,Northern,Census 2018,CY2008Q2,male,Y030_034,47526.89751990081,
MWI_2_1_demo,Northern,Census 2018,CY2008Q2,male,Y035_039,37122.79489672357,
MWI_2_1_demo,Northern,Census 2018,CY2008Q2,male,Y040_044,32326.700263551076,
MWI_2_1_demo,Northern,Census 2018,CY2008Q2,male,Y045_049,24991.61510458565,
MWI_2_1_demo,Northern,Census 2018,CY2008Q2,male,Y050_054,19787.59246437263,
MWI_2_1_demo,Northern,Census 2018,CY2008Q2,male,Y055_059,13108.12659392135,
MWI_2_1_demo,Northern,Census 2018,CY2008Q2,male,Y060_064,12001.00737067348,
MWI_2_1_demo,Northern,Census 2018,CY2008Q2,male,Y065_069,9859.286918872722,
MWI_2_1_demo,Northern,Census 2018,CY2008Q2,male,Y070_074,8205.238617259462,
MWI_2_1_demo,Northern,Census 2018,CY2008Q2,male,Y075_079,5300.731437861247,
MWI_2_1_demo,Northern,Census 2018,CY2008Q2,male,Y080_999,6213.883319314884,
MWI_2_1_demo,Northern,Census 2018,CY2009Q2,female,Y000_004,153441.00797395327,
MWI_2_1_demo,Northern,Census 2018,CY2009Q2,female,Y005_009,135799.95664672414,
MWI_2_1_demo,Northern,Census 2018,CY2009Q2,female,Y010_014,117572.3594151693,
MWI_2_1_demo,Northern,Census 2018,CY2009Q2,female,Y015_019,102863.35201748449,0.14624306760975544
MWI_2_1_demo,Northern,Census 2018,CY2009Q2,female,Y020_024,82670.33725056428,0.2539657818756147
MWI_2_1_demo,Northern,Census 2018,CY2009Q2,female,Y025_029,64626.69898575179,0.23078140418686097
MWI_2_1_demo,Northern,Census 2018,CY2009Q2,female,Y030_034,54731.84454923641,0.1956296829164221
MWI_2_1_demo,Northern,Census 2018,CY2009Q2,female,Y035_039,44714.64310646746,0.1395892762415847
MWI_2_1_demo,Northern,Census 2018,CY2009Q2,female,Y040_044,35715.14941771141,0.06695007385933845
MWI_2_1_demo,Northern,Census 2018,CY2009Q2,female,Y045_049,27478.957511697932,0.025253674765461885
MWI_2_1_demo,Northern,Census 2018,CY2009Q2,female,Y050_054,21774.011349733293,
MWI_2_1_demo,Northern,Census 2018,CY2009Q2,female,Y055_059,15591.600827681868,
MWI_2_1_demo,Northern,Census 2018,CY2009Q2,female,Y060_064,14023.361195920877,
MWI_2_1_demo,Northern,Census 2018,CY2009Q2,female,Y065_069,12323.227960670221,
MWI_2_1_demo,Northern,Census 2018,CY2009Q2,female,Y070_074,9940.976474031491,
MWI_2_1_demo,Northern,Census 2018,CY2009Q2,female,Y075_079,6994.923029882584,
